date,username,tweet_en
2022-10-05 12:21:14,jeslintuse2,east nusa tenggara government ensures hotels bali ready welcome g20 g20indonesia recovertherrecoverstronger g20indonesia2022 groupoftwentyindonesia
2022-10-05 12:17:55,usharanimuni,government makes sure hotel bali ready welcome bangka belitung g20indonesia recovertherrecoverstronger g20indonesia2022 groupoftwentyindonesia islands summit
2022-10-05 12:13:03,diaharmayanti1,government makes sure hotel bali ready welcome g20 g20indonesia recovertherrecoverstronger g20indonesia2022 groupoftwentyindonesia
2022-10-05 12:12:31,SeptianiMestika,bali compendium brought indonesia g20 summit november one deliverses president g20 indonesia arsjad rasjid b20 arsjadrasjid kompendiumbaliumbalaborative
2022-10-05 12:11:59,diaharmayanti1,indonesian telecommunications network readiness face summit g20 bali indonesia indonesia recovertogetherrecoverstronar g2022 groupoftwentyindonesia
2022-10-05 12:09:17,NovitaZara1,bali compendium brought indonesia g20 summit november one deliverses president g20 indonesia arsjad rasjid b20 arsjadrasjid kompendiumbaliumbalaborative
2022-10-05 12:06:58,plat_mirah,good government ensures hotels bali ready welcome delegation g20 smiling face open hands smiling face open hands monaco monaco monaco bangka belitung g20indonesia recovertherrecoverstonger g2022 groupoftwentyindonesia
2022-10-05 12:02:57,verryprimatama1,hotels bali ready welcome summit g20 g20indonesia recovertogetherrecoverstronger g20indonesia2022 groupoftwentyindonesia west java
2022-10-05 12:02:16,CryptoKuta,"minister communication information johnny plate kemkominfo prepared media center summit g20 capacity 1 500 media centers located bicc hotel westin nusa dua bali operate starting 13th november 17, 2022"
2022-10-05 12:00:00,sadidawoaini,government menparekraf sandiaga uno ensures hotels bali ready welcome g20 g20indonesia recovertherrecoverstronar g20indonesia2022 groupoftwentyindonesia
2022-10-05 11:58:44,KekeCook2,readiness indonesian telecommunications network face g20 summit bali g20indonesia recovertogetherrecoverstronar g20indonesia2022 groupoftwentyindonesia west java
2022-10-05 11:58:21,ErinNelson011,minister tourism creative economy sandiaga uni ensured preparation hotels bali ahead peak g20 summit accordance g20indonesia recovertogerrecoverstronar g20indonesia2022 groupoftwentyindonesia west java
2022-10-05 11:51:04,wiggins_eko,government makes sure hotel bali ready sambtu summit g20 g20indonesia recovertogerrecoverstronger g20indonesia2022 groupoftwentyindonesia west java
2022-10-05 11:50:28,DanangBarrera,readiness indonesian telecommunications network face g20 baliindonesia recovertherrecoverstronar g20indonesia2022 groupoftwentyindonesia indonesia summit
2022-10-05 11:50:12,friska_diane,government pstikan hotels bali sip welcoming summit g20 special region yogyakarta g20 yogyakarta g20indonesia recovertogerrecoverstronger g20indonesia2022 groupoftwentyindonesia
2022-10-05 11:50:09,friska_diane,readiness indonesian telecommunications network face g20 bali summit special region yogyakarta g20 yogyakarta g20indonesia recovertogetherrecoverstronger g20indonesia2022 groupoftwentyindonesia
2022-10-05 11:44:31,Zyanpatra,luhut pandjaitan's orders bali firmly invited local drivers involved g20 summit
