date,username,tweet,Subjectivity,Polarity,Analysis
2022-10-05 12:21:14,jeslintuse2,Pemerintah Tenggara Nusa Timur Memastikan Hotel Bali Siap Selamat Datang G20 G20Indonesia RecoverTheRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,0.7,0.5,Positive
2022-10-05 12:17:55,usharanimuni,Pemerintah Memastikan Hotel Bali Siap Selamat Datang Bangka Belitung G20Indonesia RecoverTrecoverstronger G20Indonesia2022 Groupoftwentyindonesia Kepulauan KTT Kepulauan,0.762962963,0.5,Positive
2022-10-05 12:13:03,diaharmayanti1,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 G20Indonesia RecoverTheRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,0.762962963,0.5,Positive
2022-10-05 12:12:31,SeptianiMestika,Bali Kompendium Membawa Indonesia G20 Summit November Seseorang memberikan Presiden G20 Indonesia Arsjad Rasjid B20 Arsjadrasjid Kompendiumbalibbalaborative,0,0,Neutral
2022-10-05 12:11:59,diaharmayanti1,Jaringan telekomunikasi Indonesia kesiapan wajah Summit G20 Bali Indonesia Indonesia Recovertogetherrecoverstronar G2022 Groupoftwentyindonesia,0,0,Neutral
2022-10-05 12:09:17,NovitaZara1,Bali Kompendium Membawa Indonesia G20 Summit November Seseorang memberikan Presiden G20 Indonesia Arsjad Rasjid B20 Arsjadrasjid Kompendiumbalibbalaborative,0,0,Neutral
2022-10-05 12:06:58,plat_mirah,Pemerintahan yang Baik Memastikan Hotel Bali Siap Delegasi Selamat Datang G20 Wajah Tersenyum Tangan Terbuka Wajah Tersenyum Tangan Terbuka Monako Monako Monako Bangka Belitung G20indonesia Recovertherrecoverstonger G2022 Groupoftwentyindonesia,0.6,0.34,Positive
2022-10-05 12:02:57,verryprimatama1,Hotel Bali Siap SIMPAN SUMMIT G20 G20Indonesia RecoverTogetherRecoversTronger G20Indonesia2022 Groupoftwentyindonesia Java Barat,0.7,0.5,Positive
2022-10-05 12:02:16,CryptoKuta,"Informasi Komunikasi Menteri Johnny Plate Kemkominfo Pusat Media Persiapan KTT G20 Kapasitas 1 500 Pusat Media Terletak BICC Hotel Westin Nusa Dua Bali Beroperasi Mulai 13 November 17, 2022",0.06666666667,-0.03333333333,Negative
2022-10-05 12:00:00,sadidawoaini,Pemerintah Menparekraf Sandiaga Uno Memastikan Hotel Bali Siap Selamat Datang G20 G20indonesia RecoverTheRecoverstronar G20Indonesia2022 Groupoftwentyindonesia,0.7,0.5,Positive
2022-10-05 11:58:44,KekeCook2,kesiapan jaringan telekomunikasi indonesia wajah g20 summit bali g20indonesia recovertogetherrecoverstronar g20indonesia2022 groupoftwentyindonesia java barat,0,0,Neutral
2022-10-05 11:58:21,ErinNelson011,Menteri Pariwisata Ekonomi Kreatif Sandiaga Uni Memastikan Persiapan Hotel Bali Ahead Peak G20 Summit Accordance G20Indonesia Recovertogerrecoverstronar G20Indonesia2022 Groupoftwentyindonesia Jawa Barat,1,0.5,Positive
2022-10-05 11:51:04,wiggins_eko,Pemerintah Memastikan Hotel Bali Ready Sambtu Summit G20 G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 Groupoftwentyindonesia Jawa Barat,0.6944444444,0.35,Positive
2022-10-05 11:50:28,DanangBarrera,kesiapan jaringan telekomunikasi indonesia wajah g20 baliindonesia recoverthercoverstronar g20indonesia2022 groupoftwentyindonesia indonesia summit,0,0,Neutral
2022-10-05 11:50:12,friska_diane,Pemerintah PSTikan Hotels Bali SIP Menyambut KTT G20 Wilayah Khusus Yogyakarta G20 Yogyakarta G20indonesia RecoverTogerCoverTronger G20Indonesia2022 Groupoftwentyindonesia,0.5714285714,0.3571428571,Positive
2022-10-05 11:50:09,friska_diane,kesiapan jaringan telekomunikasi indonesia wajah g20 bali summit wilayah khusus yogyakarta g20 yogyakarta g20indonesia recovertogetherrecovertronger g20indonesia2022 groupoftwentyindonesia,0.5714285714,0.3571428571,Positive
2022-10-05 11:44:31,Zyanpatra,Perintah Luhut Pandjaitan Bali dengan tegas mengundang pengemudi lokal yang melibatkan G20 Summit,0.2,-0.1,Negative
2022-10-05 11:41:58,Tahede55,Pemerintah Memastikan Hotel Bali Ready Sambuy Ktt G20 Indonesia Ready Host G20 G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 Gorontalo Groupoftwentyindonesia,0.6296296296,0.3,Positive
2022-10-05 11:40:05,jpnncom,Menteri Koordinasi Pesanan Marves Luhut Pandjaitan Bali dengan tegas mengundang pengemudi lokal memanfaatkan G20 Luhutpandjaitan Summit,0.2,-0.1,Negative
2022-10-05 11:28:40,febipondo,Pemerintah pasti hotel bali siap sambut timur nusa tenggara g20indonesia g20indonesia recoverthercoverstronger g20indonesia2022 groupoftwentyindonesia,0.762962963,0.5,Positive
2022-10-05 11:21:56,amin_richmen,ACEH News Network Telekomunikasi Disiapkan Selamat Datang G20 Summit Bali G20indonesia RecovertogetherRecoverstronger G20Indonesia2022 Groupoftwentyindonesia,0.9,0.8,Positive
2022-10-05 11:17:05,pak_jayaa,ACEH Telecommunications Network Pembaruan Disiapkan Gelombang G20 Summit Bali G20Indonesia RecoverTogetherRecoversTronger G20Indonesia2022 Groupoftwentyindonesia,0.9,0.8,Positive
2022-10-05 11:09:15,kurniayy,Persiapan G20 Menko Luhut Summit bertanya kepada kantor sekolah Bali wfh,0,0,Neutral
2022-10-05 11:00:01,WartaEkonomi,Menko Luhut Meninjau G20 Summit Venue Bali,0,0,Neutral
2022-10-05 10:59:11,faktualid_com,Sandiaga Uno Persiapan Bali Welcome 50 00 Delegasi Guil G20 G20 Hampir mencapai titik kulminasi Sandiagauno G20Indonesia,0.9,0.8,Positive
2022-10-05 10:58:48,anastasyameira1,kesiapan jaringan telekomunikasi indonesia wajah g20 bali summit dukungan siap west nusa tenggara g20indonesia recovertogerrecoverstronger g20indonesia2022 groupoftwentyindonesia,0.5,0.2,Positive
2022-10-05 10:58:07,anastasyameira1,Pemerintah pasti hotel bali siap sambut west nusa tenggara g20indonesia recoverthercovertronger g20indonesia2022 groupoftwentyindonesia,0.762962963,0.5,Positive
2022-10-05 10:56:52,voidotid,Kepala BNPB LT. gen. suharyanto memastikan kesiapan menangani bencana potensial g20 summit bali,1,0,Neutral
2022-10-05 10:47:15,detikTravel,Persiapan G20 Menko Luhut Summit bertanya kepada kantor sekolah Bali wfh,0,0,Neutral
2022-10-05 10:39:54,InfoPublikIP,Konferensi KTT G20 KTT High Level berlangsung Bali 15 November 2022 Berlanjut Meningkatkan Kualitas Acara Lokasi Telekomunikasi Telekomunikasi,0.54,0.16,Positive
2022-10-05 10:38:06,InfoPublikIP,Kunjungi Menteri Koordinasi Bali Marves Review Venue KTT Indonesia,0,0,Neutral
2022-10-05 10:27:16,nawacitadotco,Menkominfo 1 337 Jurnalis Terdaftar Sampul G20 Summit Bali,0,0,Neutral
2022-10-05 10:27:14,nawacitamedia,Menkominfo 1 337 Jurnalis Terdaftar Sampul G20 Summit Bali,0,0,Neutral
2022-10-05 10:27:11,NAWACIT4,Menkominfo 1 337 Jurnalis Terdaftar Sampul G20 Summit Bali,0,0,Neutral
2022-10-05 10:25:41,CEOfficialID,Luhut memesan kantor sekolah Bali berlaku dengan KTT WFH G20,0,0,Neutral
2022-10-05 10:14:20,mwlorg_id,bertemu disaksikan pemilihan ligamuslimdunia berpartisipasi KTT agama R20 pertama kali menjadi kelompok kerja partisipatif G20 KTT 2 3 3 Bali Indonesia Pemimpin Partisipasi Dialog Agama Intelektual,0.3083333333,0.1375,Positive
2022-10-05 10:06:00,Salshab65173582,Pemerintah terus menyelesaikan Sorotan Persiapan G20 Acara KTT Terjadwal Bali 15 November 1622 Mergekulih Indonesia TNI Mariberin Investasiindonindonesia Dirgahayu Tentara TNI,0,0,Neutral
2022-10-05 9:40:40,jokowipejuangID,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 KTT Awal Hotel Hotel Tersebar Nusa Dua Beberapa daerah juga siap menyambut G20 Summit siap berhasil Jepang mandala Krida G20 Pintu KTT 13 Jokowipresidenku JokowihiBat,0.425,0.275,Positive
2022-10-07 6:23:02,tauberitamedia,Kementerian Kesehatan terus menyelesaikan layanan kesehatan di depan implementasi G20 KTT Konferensi Tingkat Tinggi Bali November mendatang,0.27,0.08,Positive
2022-10-07 6:09:36,nolantv_com,G20 Summit Bali Menjadi Acara Promosi Produk MSME Berita Bali Tingkat Dunia Terbaru,0.9,0.5,Positive
2022-10-07 6:06:06,tvOneNews,Kakorlantas Polri Pastikan Personel Rute Rute Siap Route G20 Bali Summit,0.55,0.3,Positive
2022-10-07 6:00:01,Nova8Chika,Mendekati G20 Summit Bali Pemerintah membuat persiapan berbagai sektor optimisasi ekonomi.,0.25,0,Neutral
2022-10-07 6:00:00,AmarthaSefrian,Pemerintah memastikan kesiapan layanan kesehatan G20 Peserta KTT Bali Ekonomi Optimal Memperkuat Prokesbooster.,0,0,Neutral
2022-10-07 5:17:51,syamsuladzic,Summit C20 Mencapai Sorotan Perjanjian G20 Masih Berita Bali Bali,0,0,Neutral
2022-10-07 4:33:41,TabananHumas,Peran Hubungan Masyarakat Bali Polisi Regional Implementasi Informasi Pemeriksaan Informasi G20 KTT Precision Public Relations Bagian Organisasi Fungsi Membangun Kerjasama Komunikasi Publik Terkait Partai Cetak Media Media Online Peran Bali Hubungan Kepolisian Polisi Bali,0.15,0,Neutral
2022-10-07 4:25:05,tauberitamedia,"Presiden Jokowi Meninjau Lokasi Nomor Mendukung KTT G20 Bali Jokowi, Hampir Siap",0.375,0.225,Positive
2022-10-07 3:31:54,SINDOnews,G20 Summit Bali Menjadi Acara Promosi Produk Umkm Tingkat Dunia Sindonews Sebaliknya,0,0,Neutral
2022-10-07 2:19:27,MpokMae,Pembukaan WCCE ke -3 Kamis 6 Oktober 2022 Presiden Meninjau Infrastruktur Jalan Konstruksi Nusa Dua Area Badung Badung Provinsi Bali Provinsi Lulus Para Pemimpin Dunia menghadiri KTT G20 November,0,0,Neutral
2022-10-07 2:18:54,GueTionghoa,Pembukaan WCCE ke -3 Kamis 6 Oktober 2022 Presiden Meninjau Infrastruktur Jalan Konstruksi Nusa Dua Area Badung Badung Provinsi Bali Provinsi Lulus Para Pemimpin Dunia menghadiri KTT G20 November,0,0,Neutral
2022-10-07 2:18:31,DivaCatrii,Pembukaan WCCE ke -3 Kamis 6 Oktober 2022 Presiden Meninjau Infrastruktur Jalan Konstruksi Nusa Dua Area Badung Badung Provinsi Bali Provinsi Lulus Para Pemimpin Dunia menghadiri KTT G20 November,0,0,Neutral
