date,username,tweet
2022-10-02 06:41:07,nolantv_berita,Menhub pastikan kesiapan kereta cepat jelang gelaran KTT G20  https://t.co/hoI9LAJAiR #Terbaru #berita #cepat #g20
2022-10-02 06:28:04,Antara_Jabar,Menhub pastikan kesiapan kereta cepat di Bandung jelang KTT G20    https://t.co/VHyCdkFm60
2022-10-02 05:29:02,wartamasa,"KRYD di Blahbatuh, Dukung  Pengamanan KTT G20  https://t.co/GbtFs5eHzi"
2022-10-02 01:30:00,ElshintaTegal_,BMKG sudah siapkan rencana kontingensi bencana selama KTT G20   https://t.co/b9vytDkCnM
2022-10-01 23:27:43,sabhatansabiz,Menhub pastikan kesiapan kereta cepat jelang gelaran KTT G20  https://t.co/TyjbWpBqrs
2022-10-01 23:20:03,tvOneNews,Menteri Perhubungan Memastikan Kesiapan Kereta Cepat Jakarta Bandung Jelang Pelaksanaan KTT G20  https://t.co/zVj7I5y0pp
2022-10-01 22:43:31,FirmanRiza6,"Dalam menyambut KTT G20 di Bali, Polri sudah menyiapkan sejumlah mobil listrik untuk pengamanan dan pengawalan.   Hal ini juga sebagai upaya menindaklanjuti Inpres No 7 Tahun 2022 tentang Penggunaan kendaraan bermotor listrikbBerbasis baterai (Battery Electric Vehicle)  https://t.co/xQOKebkmBK"
2022-10-01 22:24:43,kompascom,"BMKG menyiapkan aksi mitigasi untuk mengantisipasi skenario terburuk jika gempa M 8,5 yang bisa menimbulkan tsunami terjadi saat pelaksanaan KTT G20.  https://t.co/2w7SXsUH32"
2022-10-01 21:47:42,detikfinance,"Dalam rangka mendukung KTT G20, Kementerian PUPR melakukan peningkatan infrastruktur Bali. Salah satunya pembangunan terminal VVIP Bandara I Gusti Ngurah Rai. Berikut info selengkapnya.   https://t.co/wcTdnIFn8K"
2022-10-01 21:45:38,rina_novitasari,Menhub pastikan kesiapan kereta cepat jelang gelaran KTT G20  https://t.co/sy2RIaNo6F
2022-10-01 21:41:38,Antara_Jabar,Menhub pastikan kesiapan kereta cepat di Bandung jelang KTT G20    https://t.co/0Y9PSj3vGV
2022-10-01 21:39:37,DISKOMINFOSS,Sobat Wong Kito! Jenis Pertemuan G20 yaitu : 1. Konferensi Tingkat Tinggi (KTT) / Summit 2. Ministerial dan Deputies Meetings/Pertemuan Tingkat Menteri dan Deputi 3. Kelompok Kerja/Working Groups   Sumber :  https://t.co/2Ws1CbVERp  Cc : @hermanderu1967 @ach_rizwan  https://t.co/gMyWkMzNkR
2022-10-01 21:39:15,sumsel_maju,Sobat Wong Kito! Jenis Pertemuan G20 yaitu : 1. Konferensi Tingkat Tinggi (KTT) / Summit 2. Ministerial dan Deputies Meetings/Pertemuan Tingkat Menteri dan Deputi 3. Kelompok Kerja/Working Groups   Sumber :  https://t.co/m4Oo90Tu0L  Cc : @hermanderu1967 @ach_rizwan  https://t.co/oDn0k2CUef
2022-10-01 21:38:04,antarabiz,Menhub pastikan kesiapan kereta cepat jelang gelaran KTT G20  https://t.co/2KHdxmGxx5
2022-10-01 21:05:51,antaranews,"Jelang puncak KTT G20, pada November mendatang, pihak Bandara Ngurah Rai, Bali, menyebut akan ada 30 pesawat VVIP yang membawa petinggi negara dan delegasi tiba di Indonesia.   #G20Indonesia #PresidensiIndonesia  Berita selengkapnya:  https://t.co/rgT8XWGXuw  https://t.co/dBa0C5gjjq"
2022-10-01 20:18:55,kabarlhk,BMKG Punya Skenario Bali Diguncang Gempa Bumi Bermagnitudo 8.5 Saat KTT G20   https://t.co/zprcmwxO9X
2022-10-01 19:10:12,fathannibos,josss makin makin nyaman ni delegasi  KTT G20 di Bali sukses dan aman #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 19:09:51,fathannibos,harus tetap optimis dongg  KTT G20 di Bali sukses dan aman #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/zK5OSs86fN
2022-10-01 19:09:31,fathannibos,3 hal penting yang memang harus dibahas  KTT G20 di Bali sukses dan aman #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/OStQE1LTwg
2022-10-01 19:09:05,fathannibos,ngerii TMII besar-besaran berubahnya  KTT G20 di Bali sukses dan aman #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/xZAwiLChrP
2022-10-01 19:08:47,fathannibos,bersama kita hadapi tantangan global  KTT G20 di Bali sukses dan aman #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/IsAnzuJ4SW
2022-10-01 19:00:47,jgngelamun,Beberapa negara yg ikut dalam KTT G20 #indonesiamaju  #KTTG20  https://t.co/YlQUey37xF
2022-10-01 18:54:33,LapasPolewali,"Persiapan KTT G20 Oleh Sekjen Kemenkumham Andap Budhi Revianto Bersama Panglima TNI.   https://t.co/D7FIcPVhxm   https://t.co/KMhhtR8Uml  (Humas Lapole, Oktober 2022) #Kemenkumham #KemenkumhamSulbar #LapasPolewaliHebat #Polman #PolewaliMandar"
2022-10-01 18:24:42,AndriCemong2,Jelang KTT G20 POLRI terus lakukan Antisipasi untuk Keamanan Negara..  https://t.co/RwDsVpedlt
2022-10-01 17:54:35,BelaNKRI17,Dibawah Presidensi Indonesia KTT G20 Turut Undang Negara Kepulauan Kecil Sumatera Barat  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 17:44:30,gonjong17,Dibawah Presidensi Indonesia KTT G20 Turut Undang Negara Kepulauan Kecil Sumatera Barat  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/6uwnHtFAfY
2022-10-01 17:35:58,PDI_Perjuangan,Gunhar Dorong Pengesahan RUU EBT Sebelum KTT G20 di Bali  Anggota Komisi VII DPR RI Yulian Gunhar mengatakan kedudukan Indonesia sebagai Presidensi G20 bisa menjadi momentum untuk mendorong percepatan pengesahan RUU Energi Baru Terbarukan (EBT).  https://t.co/VXPlI7BZ6H
2022-10-01 17:35:31,SandraAgustin94,TNI AL kerahkan 12 kapal perang untuk amankan KTT G20 di Bali #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  Kalimantan Barat
2022-10-01 17:34:46,SandraAgustin94,"Percepatan izin extra flight untuk event KTT G20, mantap ! #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  Kalimantan Barat"
2022-10-01 17:34:12,SandraAgustin94,KTT G20 meningkatkan pertumbuhan perekonomian Indonesia pasca pandemi #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  Kalimantan Barat
2022-10-01 17:33:22,SandraAgustin94,Kita juga optimis perekeonomian Indonesia akan melesat pasca event KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 17:32:42,SandraAgustin94,"Wajah baru TMII, siap dipamerkan di event KTT G20 Indonesia #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia"
2022-10-01 17:31:05,SandraAgustin94,Kalimantan Barat dukung pelaksanaan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 17:25:12,reskrimtoba88,DALAM MENYAMBUT G20 YANG AKAN DI ADAKAN DI INDONESIA. POLRI SUDAH MENYIAPKAN SEJUMLAH MOBIL LISTRIK GUNA MELAKUKAN PENGAMANAN DAN PENGAWALAN. MARI KITA BERIKAN RASA AMAN UNTUK SEMUA PESERTA YANG AKAN HADIR DI KTT G20 MENDATANG.  https://t.co/grG8pV3Q7u
2022-10-01 17:12:58,berita_mineral,@gohkokliang jawa timur sangat dukung KTT G20  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 17:00:26,DamaiSulbar,Tantangan keamanan dan pertahanan Indonesia saat ini adalah ancaman terhadap kerukunan dan polarisasi.  #Indonesia #Bali #KTT #G20 #Damai #LawanTerorisme #TangkalRadikalisme #Merdeka #PancasilaDasarNegara #NkriHargaMati #Malaqbi #MelleteDiatonganang #Manakarra #SulbarInfo  https://t.co/MNKWskq00W
2022-10-01 16:59:45,DamaiSulbar,"Jelang G-20, Latihan penanggulangan keadaan darurat di bandara Bali dilakukan. Recover Together, Recover Stronger !  #Indonesia #Bali #KTT #G20 #Damai #LawanTerorisme #TangkalRadikalisme #Merdeka #PancasilaDasarNegara #NkriHargaMati #Malaqbi #MelleteDiatonganang #Manakarra  https://t.co/h4XhUbDgmA"
2022-10-01 16:58:55,DamaiSulbar,Polda bali bersama satgas dari instansi lainnya terus berupaya menyukseskan acara G-20.  #Indonesia #Bali #KTT #G20 #Damai #LawanTerorisme #TangkalRadikalisme #Merdeka #PancasilaDasarNegara #NkriHargaMati #Malaqbi #MelleteDiatonganang #Manakarra #SulbarInfo #SulbarModerat  https://t.co/dFvQjGqWf7
2022-10-01 16:58:15,DamaiSulbar,"Jadi, setiap bulan ke depan kita akan melaksanakan beberapa TFG.  #Indonesia #Bali #KTT #G20 #Damai #LawanTerorisme #TangkalRadikalisme #Merdeka #PancasilaDasarNegara #NkriHargaMati #Malaqbi #MelleteDiatonganang #Manakarra #SulbarInfo #SulbarModerat #PolewaliMandar #Majene  https://t.co/Y4DGiKUIFt"
2022-10-01 16:57:31,DamaiSulbar,"Mari bersama dukung KTT G-20 2022 di Indonesia. Recover Together, Recover Stronger !  #Indonesia #Bali #KTT #G20 #Damai #LawanTerorisme #TangkalRadikalisme #Merdeka #PancasilaDasarNegara #NkriHargaMati #Malaqbi #MelleteDiatonganang #Manakarra #SulbarInfo #SulbarModerat  https://t.co/wmQGgKmhKp"
2022-10-01 16:52:59,bandifains4230,Berbagai fasilitas kesehatan disiapkan di Hotel utama tempat penyelenggaraan KTT G20. Jambi #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/FCLwmFRdkn
2022-10-01 16:11:03,katakinidotcom,Jelang KTT G20 DPR RI Tinjau Persiapan BIN  https://t.co/MNGhM5VZJW
2022-10-01 16:06:21,kkpdenpasar,"Jelang KTT G20, Angkasa Pura I Gelar Latihan PKD 107 di Bandara I Gusti Ngurah Rai Bali (Pax terduga Monkeypox dan Aircraft Crash Landing). Peran KKP pada latihan ini sebagai Koordinator Medis yang melakukan fungsi Komunikasi, koordinasi &amp; Komando dalam penanganan medis.  https://t.co/PX0SvezxwI"
2022-10-01 16:04:31,JakartaNewsID1,"Siap Sukseskan KTT G20, PLN Operasikan Sistem Pertahanan Anti Blackout  https://t.co/9L47UUtRzS"
2022-10-01 15:55:18,HumasPolsekWat1,"Repost @IndonesiaBaik Melalui @kemenkomarves bekerja sama dg semua kementerian, lembaga negara, pemda, pihak swasta &amp; masyarakat, menyempurnakan persiapan &amp; pelaksanaan KTT #G20  https://t.co/206ga1fkmY"
2022-10-01 15:52:27,HumasPolsekWat1,Repost @IndonesiaBaik Hai SohIB!  Pemerintah Indonesia sebagai tuan rumah KTT #G20 memastikan segala kebutuhan sarana pendukung dan logistik akan terpenuhi.  https://t.co/Cd7vi0LXSS
2022-10-01 15:44:55,DivHumas_Polri,"Dalam menyambut KTT G20 di Bali, Polri sudah menyiapkan sejumlah mobil listrik untuk pengamanan dan pengawalan.  https://t.co/BHdKq916IL"
2022-10-01 15:26:42,Benita57686685,Riau tentunya mendukung KTT G20 !  #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia
2022-10-01 15:25:53,chatnews_id,Peserta #KTTG20 berwisata melihat kembali warisan kejayaaaan Indonesia di masa lampau. Peserta berjalan-jalan ke Candi Borobudur.   https://t.co/ZxzLXf8BEg
2022-10-01 15:01:56,ChikaFirli,Polri Antisipasi Serangan Siber Hingga Terorisme Jelang KTT G20.  Jambi #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/o22zxIUmNN
2022-10-01 14:59:44,ChikaFirli,Polri Antisipasi Serangan Siber Hingga Terorisme Jelang KTT G20. Jambi #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/lo7ywhOVP4
2022-10-01 14:58:39,ChikaFirli,Mari Dukung dan Sukseskan bersama pelaksanaan KTT G20 di Indonesia!  Jambi #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/HPBSAYQSqR
2022-10-01 14:31:56,RutanMajene,"Bersama Panglima TNI Jenderal Andika Perkasa, Sekjen Andap Budhi Revianto Lakukan Persiapan Pelaksanaan KTT G20   https://t.co/uvKNqociBb   @Kemenkumham_RI @NewsKemenkumham #KanwilSulbar #KumhamSulbar #FaisolAli #Yasonna  https://t.co/4LAKIPb7Mm"
2022-10-01 14:25:57,AlifiaMona,KTT G20 juga berikan dampak positif pada pertumbuhan ekonomi indonesia  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:25:45,AlifiaMona,Masyarakat Indonesia sangat mendukung pelaksanaan KTT G20  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:25:28,AlifiaMona,Presidensi G20 jadi bukti bahwa indonesia diakui dunia sebagai negara dengan perekonomian yang besar dan kuat  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:25:00,AlifiaMona,KTT G20 jadi kesempatan bagi Indonesia mengenalkan produk unggulan yang ada di indonesia kepada dunia  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:24:59,AlifiaMona,Presidensi G20 jadi bukti bahwa indonesia mampu jadi leader dalam pemulihan ekonomi global  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara  https://t.co/C34qJkJouj
2022-10-01 14:24:48,AlifiaMona,Presidensi G20 jadi bukti bahwa indonesia sangat dihormati dan diakui dunia sebagai negara dengan perekonomian yang besar  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
2022-10-01 14:24:07,GamingGmap,Fasilitas Layaanan Kesehatan Pada KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Barat  https://t.co/mziao1ewOl
2022-10-01 14:24:06,erfanjay4,Polri Antisipasi Serangan Siber Hingga Terorisme Jelang KTT G20.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/vtRx56pH3R
2022-10-01 14:23:50,chandrawinot0,Polri Tetapkan Lima Kawasan Menjadi Prioritas Pengamanan KTT G20.  Papua Dukung #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia  https://t.co/5V7lYP7g4k
2022-10-01 14:23:50,AlifiaMona,KTT G20 berikan dampak positif pada perekonomian indonesia khususnya pada sektor pariwisata  Dukung &amp; sukseskan KTT G20 #G20Indonesia #RecoverTogetherRecoverStronger #G20Indonesia2022 #GroupOfTwentyIndonesia Sumatera Utara
